List Date,company_name,issue_size(Cr),QIB_subscription,NII_subscription,RII_subscription,Total_subscription,offer_price(Rs),list_price(Rs),listing_gains(%)
,advance agrolife,192.86,27.31,175.3,23.06,56.85,100,113,13
,om feight,122.31,3.97,7.39,2.75,3.87,135,82.5,-38.89
,fabtech,230.35,2.02,1.97,2.08,2.03,191,191,0
,glottis,307,1.87,2.97,1.42,2.05,129,88,-31.78
,pace,819.35,1.6,2.9,1.03,1.59,219,226.85,3.58
,jinkushal,116.15,35.66,146.39,47.1,65.1,121,125,3.31
,trualt,839.28,159.22,98.56,11,71.92,496,550,10.89
,bmw ventures,231.66,3.09,3.03,0.99,1.5,99,80,-19.19
,jain resource,1250,25.29,5.3,3.62,15.9,232,265.25,14.33
,epack,504,5.1,3.68,1.69,3.07,204,186.1,-8.77
,seshaasai,813.07,189.63,49.89,9.17,68.13,423,436,3.07
,anand rathi,745,43.8,28.6,4.78,20.66,414,432.1,4.37
,solar world,490,70.43,64.73,49.15,65.01,351,389,10.83
,joro institute,450,35.35,35.48,8.71,22.06,890,890,0
,ganesh consumer,408.8,4.18,4.34,1.15,2.67,322,295,-8.39
,atlanta electrical,687.85,194.92,54.2,10.42,70.63,754,858.1,13.81
,g k energy,464.26,186.29,122.73,20.79,89.62,153,165,7.84
,saatvik green,900,10.84,10.04,2.66,6.57,465,460,-1.08
,ivalue,560.29,3.18,1.26,1.28,1.82,299,285,-4.68
,vms,148.5,120.8,277.09,47.88,102.26,99,105,6.06
,euro,451.31,1.05,1.92,1.23,1.34,247,273.45,10.71
,shringar,400.95,101.41,82.58,27.22,60.29,165,187.7,13.76
,urban company,1900,140.2,74.04,39.25,103.63,103,161,56.31
,dev,143.35,20.3,87.97,164.72,63.97,61,61.3,0.49
,amanta,126,35.86,209.42,54.98,82.61,126,134,6.35
,vikram engineering,772,19.45,58.58,10.97,23.59,97,99.7,2.78
,anlon,121.03,1.07,10.61,47.29,7.12,91,91,0
20-Aug-25,Regaal Resources L...,306,190.97,356.73,57.75,159.88,102,141.8,39.02
19-Aug-25,Bluestone Jeweller...,1540.65,4.28,0.55,1.35,2.7,517,508.8,-1.59
14-Aug-25,JSW Cement Ltd,3600,15.8,10.97,1.81,7.77,147,153,4.08
14-Aug-25,All Time Plastics ...,400.6,10.15,13.47,5.14,8.34,275,314.3,14.29
12-Aug-25,Highway Infrastruc...,130,420.57,447.32,155.58,300.61,70,117,67.14
18-Aug-25,Knowledge Realty T...,4800,6.75,15.51,0,10.73,100,104,4
06-Aug-25,M & B Engineering ...,650,36.72,38.24,32.55,36.2,385,386,0.26
06-Aug-25,Sri Lotus Develope...,792,163.9,57.71,20.28,69.14,150,179.1,19.4
06-Aug-25,National Securitie...,4011.6,103.97,34.98,7.73,41.01,800,880,10
05-Aug-25,Aditya Infotech Lt...,1300,133.21,72,50.87,100.69,675,1018,50.81
05-Aug-25,Laxmi India Financ...,254.26,1.3,1.84,2.22,1.87,158,136,-13.92
01-Aug-25,Shanti Gold Intern...,360.11,117.33,151.48,30.37,81.17,199,229.1,15.13
31-Jul-25,Brigade Hotel Vent...,759.6,5.42,1.92,6.4,4.48,90,82,-8.89
30-Jul-25,GNG Electronics Lt...,460.44,266.21,227.67,46.84,147.93,237,350,47.68
30-Jul-25,Indiqube Spaces Lt...,700,14.35,8.27,12.9,12.41,237,218.7,-7.72
21-Jul-25,Anthem Biosciences...,3395,182.65,42.36,5.64,63.86,570,723.1,26.86
17-Jul-25,Smartworks Coworki...,582.56,24.41,22.78,3.53,13.45,407,436.1,7.15
14-Jul-25,Travel Food Servic...,2000,7.7,1.58,0.69,2.88,1100,1126.2,2.38
09-Jul-25,Crizac Ltd,860,134.35,76.15,10.24,59.82,245,280,14.29
03-Jul-25,Indogulf Cropscien...,200,33.26,48.39,14.78,25.98,111,111,0
02-Jul-25,HDB Financial Serv...,12500,55.47,9.99,1.41,16.69,740,835,12.84
02-Jul-25,Sambhv Steel Tubes...,540,62.32,31.82,7.99,28.46,82,110.1,34.27
01-Jul-25,Globe Civil Projec...,119,99.76,143.15,53.72,86.04,71,91.1,28.31
01-Jul-25,Kalpataru Ltd,1590,3.12,1.31,1.29,2.26,414,414.1,0.02
01-Jul-25,Ellenbarrie Indust...,852.53,64.23,15.21,2.14,22.19,400,492,23
25-Jun-25,Arisinfra Solution...,499.6,1.42,3.14,5.59,2.65,222,209.1,-5.81
20-Jun-25,Oswal Pumps Ltd,1387.34,88.08,36.7,3.6,34.42,614,632,2.93
04-Jun-25,Scoda Tubes Ltd,220,69.51,113.03,19.4,53.78,140,140,0
03-Jun-25,Prostarm Info Syst...,168,104.49,222.14,39.49,97.2,105,125,19.05
02-Jun-25,Aegis Vopak Termin...,2800,3.3,0.56,0.77,2.09,235,220,-6.38
02-Jun-25,Schloss Bangalore ...,3500,7.46,1.02,0.83,4.5,435,406.5,-6.55
28-May-25,Belrise Industries...,2150,108.35,38.33,4.27,41.3,90,98.5,9.44
27-May-25,Borana Weaves Ltd,144.89,87.21,237.42,200.53,148.78,216,243,12.5
06-May-25,Ather Energy Ltd,2980.8,1.7,0.66,1.78,1.43,321,326.05,1.57
24-Feb-25,Quality Power Elec...,858.7,1.03,1.45,1.83,1.29,425,432.05,1.66
19-Feb-25,Hexaware Technolog...,8750,9.09,0.2,0.11,2.66,708,731,3.25
17-Feb-25,Ajax Engineering L...,1268.88,14.41,6.46,1.92,6.44,629,593,-5.72
04-Feb-25,Dr Agarwal's Healt...,3027.26,4.64,0.4,0.41,1.55,402,396.9,-1.27
29-Jan-25,Denta Water & Infr...,220.5,236.94,507.27,90.56,221.68,294,330,12.24
23-Jan-25,Stallion India Flu...,199.45,172.93,422.42,96.89,188.37,90,120,33.33
20-Jan-25,Laxmi Dental Ltd,698.06,110.38,147.95,76.24,114.42,428,528,23.36
17-Jan-25,Capital Infra Trus...,1578,0.58,4.24,0,2.23,99,99,0
14-Jan-25,Quadrant Future Te...,290,132.54,254.71,246.94,186.66,290,374,28.97
13-Jan-25,Standard Glass Lin...,410.05,331.6,268.5,64.99,183.18,140,176,25.71
07-Jan-25,Indo Farm Equipmen...,260.15,242.4,503.83,104.92,229.68,215,258.4,20.19
31-Dec-24,Unimech Aerospace ...,500,317.63,263.78,56.74,175.31,785,1491,89.94
30-Dec-24,Ventive Hospitalit...,1600,9.08,13.85,5.87,9.8,643,718.15,11.69
30-Dec-24,Carraro India Ltd,1250,2.21,0.6,0.71,1.12,704,660,-6.25
